"dataset_version","method","project_slug","project_name","category","part_count","requested_part_area_sq_in","placed_part_area_sq_in","trim_margin_each_edge_in","kerf_in","nominal_sheet_length_in","nominal_sheet_width_in","usable_sheet_length_in","usable_sheet_width_in","orientation_mode","estimated_sheets","usable_area_yield_pct","usable_area_waste_pct","rejected_piece_count","complete_layout","source_template_url"
"2026-07-21","woodcuttool-maxrects-v1","rolling-pantry","Rolling pantry cart","Storage","7","2760","2760","1","0.125","96","48","94","46","rotation_allowed","1","63.8","36.2","0","true","https://woodcuttool.com/templates/rolling-pantry-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","rolling-pantry","Rolling pantry cart","Storage","7","2760","2760","1","0.125","96","48","94","46","orientation_locked","1","63.8","36.2","0","true","https://woodcuttool.com/templates/rolling-pantry-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","rolling-pantry","Rolling pantry cart","Storage","7","2760","2760","1","0.1875","96","48","94","46","rotation_allowed","1","63.8","36.2","0","true","https://woodcuttool.com/templates/rolling-pantry-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","rolling-pantry","Rolling pantry cart","Storage","7","2760","2760","1","0.1875","96","48","94","46","orientation_locked","1","63.8","36.2","0","true","https://woodcuttool.com/templates/rolling-pantry-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","rolling-pantry","Rolling pantry cart","Storage","7","2760","2760","1","0.25","96","48","94","46","rotation_allowed","1","63.8","36.2","0","true","https://woodcuttool.com/templates/rolling-pantry-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","rolling-pantry","Rolling pantry cart","Storage","7","2760","2760","1","0.25","96","48","94","46","orientation_locked","1","63.8","36.2","0","true","https://woodcuttool.com/templates/rolling-pantry-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0","0","96","48","96","48","rotation_allowed","2","59.3","40.7","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0","0","96","48","96","48","orientation_locked","2","59.3","40.7","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0","0.03125","96","48","96","48","rotation_allowed","2","59.3","40.7","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0","0.03125","96","48","96","48","orientation_locked","2","59.3","40.7","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0","0.0625","96","48","96","48","rotation_allowed","2","59.3","40.7","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0","0.0625","96","48","96","48","orientation_locked","2","59.3","40.7","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0","0.09375","96","48","96","48","rotation_allowed","2","59.3","40.7","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0","0.09375","96","48","96","48","orientation_locked","2","59.3","40.7","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0","0.125","96","48","96","48","rotation_allowed","2","59.3","40.7","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0","0.125","96","48","96","48","orientation_locked","2","59.3","40.7","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0","0.1875","96","48","96","48","rotation_allowed","2","59.3","40.7","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0","0.1875","96","48","96","48","orientation_locked","2","59.3","40.7","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0","0.25","96","48","96","48","rotation_allowed","2","59.3","40.7","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0","0.25","96","48","96","48","orientation_locked","2","59.3","40.7","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.125","0","96","48","95.75","47.75","rotation_allowed","2","59.8","40.2","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.125","0","96","48","95.75","47.75","orientation_locked","2","59.8","40.2","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.125","0.03125","96","48","95.75","47.75","rotation_allowed","2","59.8","40.2","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.125","0.03125","96","48","95.75","47.75","orientation_locked","2","59.8","40.2","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.125","0.0625","96","48","95.75","47.75","rotation_allowed","2","59.8","40.2","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.125","0.0625","96","48","95.75","47.75","orientation_locked","2","59.8","40.2","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.125","0.09375","96","48","95.75","47.75","rotation_allowed","2","59.8","40.2","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.125","0.09375","96","48","95.75","47.75","orientation_locked","2","59.8","40.2","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.125","0.125","96","48","95.75","47.75","rotation_allowed","2","59.8","40.2","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.125","0.125","96","48","95.75","47.75","orientation_locked","2","59.8","40.2","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.125","0.1875","96","48","95.75","47.75","rotation_allowed","2","59.8","40.2","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.125","0.1875","96","48","95.75","47.75","orientation_locked","2","59.8","40.2","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.125","0.25","96","48","95.75","47.75","rotation_allowed","2","59.8","40.2","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.125","0.25","96","48","95.75","47.75","orientation_locked","2","59.8","40.2","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.25","0","96","48","95.5","47.5","rotation_allowed","2","60.3","39.7","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.25","0","96","48","95.5","47.5","orientation_locked","2","60.3","39.7","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.25","0.03125","96","48","95.5","47.5","rotation_allowed","2","60.3","39.7","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.25","0.03125","96","48","95.5","47.5","orientation_locked","2","60.3","39.7","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.25","0.0625","96","48","95.5","47.5","rotation_allowed","2","60.3","39.7","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.25","0.0625","96","48","95.5","47.5","orientation_locked","2","60.3","39.7","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.25","0.09375","96","48","95.5","47.5","rotation_allowed","2","60.3","39.7","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.25","0.09375","96","48","95.5","47.5","orientation_locked","2","60.3","39.7","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.25","0.125","96","48","95.5","47.5","rotation_allowed","2","60.3","39.7","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.25","0.125","96","48","95.5","47.5","orientation_locked","2","60.3","39.7","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.25","0.1875","96","48","95.5","47.5","rotation_allowed","2","60.3","39.7","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.25","0.1875","96","48","95.5","47.5","orientation_locked","2","60.3","39.7","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.25","0.25","96","48","95.5","47.5","rotation_allowed","2","60.3","39.7","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.25","0.25","96","48","95.5","47.5","orientation_locked","2","60.3","39.7","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.5","0","96","48","95","47","rotation_allowed","2","61.2","38.8","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.5","0","96","48","95","47","orientation_locked","2","61.2","38.8","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.5","0.03125","96","48","95","47","rotation_allowed","2","61.2","38.8","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.5","0.03125","96","48","95","47","orientation_locked","2","61.2","38.8","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.5","0.0625","96","48","95","47","rotation_allowed","2","61.2","38.8","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.5","0.0625","96","48","95","47","orientation_locked","2","61.2","38.8","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.5","0.09375","96","48","95","47","rotation_allowed","2","61.2","38.8","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.5","0.09375","96","48","95","47","orientation_locked","2","61.2","38.8","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.5","0.125","96","48","95","47","rotation_allowed","2","61.2","38.8","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.5","0.125","96","48","95","47","orientation_locked","2","61.2","38.8","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.5","0.1875","96","48","95","47","rotation_allowed","2","61.2","38.8","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.5","0.1875","96","48","95","47","orientation_locked","2","61.2","38.8","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.5","0.25","96","48","95","47","rotation_allowed","2","61.2","38.8","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","0.5","0.25","96","48","95","47","orientation_locked","2","61.2","38.8","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","1","0","96","48","94","46","rotation_allowed","2","63.2","36.8","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","1","0","96","48","94","46","orientation_locked","2","63.2","36.8","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","1","0.03125","96","48","94","46","rotation_allowed","2","63.2","36.8","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","linen-cabinet","Linen cabinet","Storage","9","5469","5469","1","0.03125","96","48","94","46","orientation_locked","2","63.2","36.8","0","true","https://woodcuttool.com/templates/linen-cabinet-cut-list/"
